Date,Open,High,Low,Close,Volume
2014-01-02,27.9218277571,27.9292199734,27.4266563946,27.4340457916,31346500
2014-01-03,27.3010227079,27.3158043259,26.9980065855,27.0940856934,23690200
2014-01-06,26.7836804373,26.8058514549,26.6063038378,26.6136932373,30648900
2014-01-07,26.5323992283,26.7023836132,26.4954437722,26.6210861206,17569100
2014-01-08,26.8132404842,26.9832248625,26.8058510849,26.9388828278,26382200
2014-01-09,26.6949864359,26.7023786535,26.2958940852,26.4437046051,26185700
2014-01-10,26.6728209007,26.9906186585,26.6358682632,26.9241027832,22893300
2014-01-13,26.6506475746,26.7023818266,26.3550208611,26.3919734955,22225600
2014-01-14,26.5915229842,26.8280232440,26.4215385987,26.7984600067,20908900
2014-01-15,26.7097724463,26.8280225733,26.6432565737,26.7467250824,14289100
2014-01-16,26.6284757576,26.6876022326,26.4584913712,26.5028362274,23924100
2014-01-17,26.5545675659,26.5841308001,26.3476305650,26.4584884644,25082100
2014-01-21,26.6210834332,26.6580360663,26.2811146977,26.4584884644,20398200
2014-01-22,26.8354144252,27.1014750927,26.7393353174,27.0940856934,23985000
2014-01-23,26.3180688118,26.3328504298,25.8524577144,25.8820209503,41137600
2014-01-24,25.6676967629,25.6824783838,25.2612120574,25.2907752991,46276300
2014-01-27,25.3646757536,26.0520054855,25.0912228684,25.2464256287,33460900
2014-01-28,25.4533628492,25.6455210658,25.3942391959,25.5346603394,25119800
2014-01-29,25.3794629382,25.6529158833,25.2464311661,25.4977130890,38343200
2014-01-30,25.7637763741,25.9115897659,25.5937919602,25.6159629822,26070400
2014-01-31,25.3942363975,25.6676892548,25.2020782021,25.5568313599,27627100
2014-02-03,25.4311930177,25.4311930177,24.8768949983,24.9434108734,28185900
2014-02-04,25.0173144472,25.3646754179,25.0025356487,25.2316436768,20066400
2014-02-05,24.9434140257,25.0986168141,24.7290847545,24.9138507843,25493500
2014-02-06,25.0320996044,25.3425079841,25.0173179844,25.3277263641,21326800
2014-02-07,25.4681434555,25.5642225600,25.3055513010,25.4238014221,20699000
2014-02-10,25.3868476833,25.3942399022,25.0468789144,25.2020816803,23214500
2014-02-11,25.7933345943,26.1924270096,25.7859423755,26.1628665924,38158500
2014-02-12,26.4584901617,26.5693508874,26.1333030225,26.1480846405,26200900
2014-02-13,25.8967981120,26.2589378215,25.8672348812,26.2145957947,18798800
2014-02-14,26.2958940852,26.5545653143,26.2811124694,26.4437046051,16837600
2014-02-18,26.5471753477,26.6358650503,26.3698015810,26.4584884644,17329900
2014-02-19,26.4289272356,26.7541171980,26.4067562179,26.5915222168,30223100
2014-02-20,26.6580408264,26.6580408264,26.0815717530,26.3698062897,19624600
2014-02-21,26.2515495590,26.4584865448,26.2441573413,26.4141445160,26359500
2014-02-24,26.0372232455,26.2737234896,26.0298338463,26.0963497162,19903500
2014-02-25,25.8376765619,25.9115846530,25.5568342740,25.6455211639,31732100
2014-02-26,25.8820205109,25.9559257800,25.6972545188,25.7342071533,24034700
2014-02-27,26.3328467152,26.4954388509,26.2293782235,26.4437046051,29809000
2014-02-28,26.3919739563,26.4511004278,26.0593946026,26.1554737091,23754500
2014-03-03,25.6972539586,25.9041909631,25.5937854564,25.8376750946,28626300
2014-03-04,26.1702534136,26.2367692794,26.0224400650,26.1333007812,18353100
2014-03-05,25.8081141001,25.9263670493,25.6824745706,25.8746299744,22035500
2014-03-06,25.9707080432,26.2811163837,25.9633186438,26.1480846405,21977500
2014-03-07,26.0224420885,26.0741763416,24.9877542069,25.8598499298,23786100
2014-03-10,25.4016291636,25.4755372559,25.2390369989,25.4533634186,24492400
2014-03-11,25.4459727938,25.5050964456,24.9581906848,25.0542697906,39123000
2014-03-12,24.8399433542,25.0394909875,24.7216932181,24.9877567291,26377800
2014-03-13,24.8842836686,24.9064575058,24.2265171559,24.3743305206,57494700
2014-03-14,24.4038902798,24.6625615167,24.3373744162,24.4112796783,27583000
2014-03-17,24.5369245959,24.6773457366,24.4186744724,24.4408454895,21409000
2014-03-18,24.6847385959,24.9286282486,24.6699569777,24.8547229767,28181000
2014-03-19,24.5886569350,24.7808123135,24.3152040742,24.4630146027,27188000
2014-03-20,24.1895648504,24.4482389469,24.0787069398,24.3891124725,27224600
2014-03-21,24.9729707403,25.4385789839,24.9507969054,25.0912208557,63422300
