Date,Open,High,Low,Close,Volume
2019-01-02,32.1909515773,32.6199385404,32.1657179938,32.6031150818,30521500
2019-01-03,32.1993611927,32.2750651507,31.9638391938,32.0395431519,30627000
2019-01-04,32.7713475645,33.3517456744,32.6872334776,33.1246337891,45264800
2019-01-07,32.9648074586,33.3012701722,32.8891035085,33.2003326416,28189800
2019-01-08,33.2928574870,33.4694989541,33.1078026879,33.3517379761,32023400
2019-01-09,33.7639114892,34.2013118304,33.7218544429,33.9237327576,40136400
2019-01-10,33.7554962778,34.1592496377,33.7302594868,34.1256027222,25310200
2019-01-11,33.8816661631,34.0498975258,33.8143755433,33.9741935730,18580500
2019-01-14,33.4358539440,33.7386697384,33.3937969079,33.5704383850,18481900
2019-01-15,33.9237276968,34.0919558571,33.7891400346,33.8984909058,26199300
2019-01-16,34.2097167523,34.5461794893,34.2013066278,34.3527145386,28645700
2019-01-17,34.1087804429,34.6891785248,34.1003703181,34.4620666504,34536700
2019-01-18,34.7396348384,34.9919802171,34.6471074509,34.7985153198,33319800
2019-01-22,34.2854207604,34.3274810091,33.8648439428,34.0835456848,32566100
2019-01-23,34.5125351009,34.5209484347,34.1928990069,34.4704780579,19691900
2019-01-24,34.5630034835,34.8826427678,34.5461800255,34.8321723938,26067900
2019-01-25,35.3284479769,35.6396738821,35.3284479769,35.4882659912,33704900
2019-01-28,35.1013393204,35.2191003109,34.9499314158,35.1938667297,22483700
2019-01-29,35.2863941391,35.3452746343,35.1181627774,35.1938667297,16812400
2019-01-30,35.4125619976,35.8920192486,35.2948010180,35.8163185120,37140400
2019-01-31,35.8836191705,36.3126061750,35.8752090448,36.2873725891,48172500
2019-02-01,35.9088407906,36.0686620049,35.7742563626,35.9509010315,30566400
2019-02-04,35.8667875651,36.1191329933,35.8079070721,35.9929618835,24325800
2019-02-05,36.1780178402,36.6322415909,36.0770802985,36.5144805908,29621900
2019-02-06,36.5060686359,36.5817725905,35.9929644108,36.0686683655,25501600
2019-02-07,35.8415444512,36.0602429085,35.2947934948,35.6733131409,33289500
2019-02-08,35.6480922854,35.9004377365,35.3705100430,35.6817359924,23090000
2019-02-11,35.9256636158,35.9929574330,35.7406120360,35.7826690674,20631300
2019-02-12,35.9340814238,35.9929619168,35.7994969814,35.8499641418,19397600
2019-02-13,36.4051304308,36.4387773483,36.0602575486,36.1864318848,25797500
2019-02-14,35.9340845542,36.2032534625,35.8079102247,36.0518455505,25409200
2019-02-15,35.8079051828,35.9424896180,35.7237911141,35.8583755493,34904600
2019-02-19,35.9172679373,36.4640159826,35.9172679373,36.3799018860,28315600
