Date,Open,High,Low,Close,Volume
2020-01-02,38.4374382899,38.8529777527,38.4028091757,38.8529777527,25552300
2020-01-03,38.0825028659,38.3075855312,38.0045890005,38.0132446289,20949400
2020-01-06,38.0218955731,38.2036967716,37.9959253887,38.1950378418,12687700
2020-01-07,38.1084781153,38.1777330591,38.0045940485,38.0998191833,16114600
2020-01-08,37.8314363077,38.2729458885,37.7794926442,38.0738334656,27640100
2020-01-09,38.3941543790,38.4460980559,38.2989292584,38.4201278687,24049100
2020-01-10,38.4807291220,38.6278979269,38.4028152540,38.5413284302,21284000
2020-01-13,38.7837212306,39.2079196418,38.7404364871,39.1992607117,30778500
2020-01-14,38.7231267805,38.8529843295,38.6538718429,38.8010406494,40042300
2020-01-15,38.6192429203,38.6971567895,38.5672992399,38.5846138000,19116400
2020-01-16,38.7144687502,38.8702964783,38.6711807016,38.8702964783,18411900
2020-01-17,38.9914980109,39.0520973206,38.8789550206,39.0520973206,18061600
2020-01-21,37.4332200876,37.5371041360,37.2081341299,37.2167930603,61518300
2020-01-22,37.8660734295,37.8660734295,37.4938186854,37.6323318481,42871500
2020-01-23,36.8099191355,37.2427733069,36.6540913696,37.1475448608,60680300
2020-01-24,37.0696226870,37.0955928747,36.4463117627,36.6627388000,49822700
2020-01-27,34.6716092159,35.4507478375,34.4638411185,35.2083473206,101480800
2020-01-28,35.2429770402,35.5719470529,35.0525234980,35.4507484436,45049200
2020-01-29,35.8662916008,35.9355465407,35.6152354259,35.6671791077,34216700
2020-01-30,34.8793809647,35.3208906531,34.6802684933,35.2256622314,52579300
2020-01-31,34.5590761144,34.5850496108,34.2127947522,34.4032516479,49332700
2020-02-03,34.6369802631,34.9399800851,34.6283246350,34.7408676147,31424200
2020-02-04,35.6498606542,35.8403174974,35.5892613500,35.6758308411,40812700
2020-02-05,36.2298816255,36.2471961833,35.7277726591,35.7970275879,29440600
2020-02-06,36.3251145083,36.3251145083,35.9701742859,36.0394325256,32571500
2020-02-07,35.9268876165,35.9442021755,35.6238910901,35.7191162109,27022800
2020-02-10,35.7450971877,35.9528653343,35.7450971877,35.9268951416,19858200
2020-02-11,36.5328877434,36.7579704287,36.4982586218,36.6194572449,30499200
2020-02-12,36.9224538626,37.1821656467,36.8272254379,37.1129074097,23667400
2020-02-13,36.6454311687,36.7925999834,36.5675172954,36.6281166077,28958100
2020-02-14,36.7666252573,36.7925954444,36.4809399899,36.5934829712,20948600
2020-02-18,36.4809386631,36.6107961986,36.4549684770,36.5155677795,18917200
2020-02-19,36.8272237541,36.8531939406,36.7146807753,36.7666244507,16643500
2020-02-20,36.6194533421,36.6800526472,36.3337713757,36.3770561218,33181100
2020-02-21,36.4982547320,36.5242249192,36.3077978861,36.3770561218,36464900
2020-02-24,34.9140115841,35.3468656630,34.8707235343,35.0871505737,54703500
2020-02-25,35.4247783237,35.4594074447,34.7148978566,34.7495269775,54366400
2020-02-26,35.3901496754,35.5979177796,35.2256630153,35.2516365051,45905500
2020-02-27,35.3555235334,35.4767221548,34.8101264348,34.9832687378,49675900
2020-02-28,34.4032344362,35.2343132527,34.0656055710,35.1996841431,59172700
2020-03-02,35.1910424519,35.5632972717,35.0352146993,35.5632972717,48122500
2020-03-03,35.4767242497,36.0048068189,35.1304429256,35.3382110596,60878800
2020-03-04,35.6325467184,35.7624042596,35.4940335488,35.7191162109,30524200
2020-03-05,35.8489792832,35.9615222828,35.4680688338,35.5632972717,40896600
2020-03-06,34.8534126282,34.9919258158,34.5244458715,34.8534126282,46723400
2020-03-09,33.1046807914,33.8318757625,32.9055650127,33.4509620667,57639400
2020-03-10,34.6110064711,34.8274334775,34.0396393063,34.7754898071,46744500
2020-03-11,33.8405375531,34.0309944358,33.4769383502,33.5894813538,49439900
2020-03-12,31.2953475181,31.6156585738,30.5594936897,30.9923477173,78653600
2020-03-13,33.3297626723,33.3557328592,31.4252041449,32.7237663269,66179500
2020-03-16,29.3301928374,30.7672682240,29.1310803606,29.3561630249,48274800
2020-03-17,30.2132153016,31.2693769830,29.7890168614,31.1741485596,41580100
2020-03-18,29.0791377264,29.9188757128,28.7588266264,29.4081077576,56158300
2020-03-19,29.0877917375,29.9275296773,28.6549376742,29.4340763092,39366100
2020-03-20,30.7759201749,30.8711485877,29.5725865272,29.8322982788,51232800
2020-03-23,30.1785882496,30.2391875592,29.3821349918,29.8149890900,37971800
2020-03-24,31.4944647138,31.8494049378,31.1914648675,31.8320903778,39464800
2020-03-25,31.9273213417,32.6718309687,31.6589505940,32.3168907166,33129400
2020-03-26,32.0398600530,33.2431972635,31.9706051121,33.1999092102,34047500
2020-03-27,31.3905788427,31.7628336443,31.1828107177,31.2520656586,39483000
2020-03-30,31.7801464262,32.3947984401,31.6070041301,32.3774871826,22500100
2020-03-31,32.4727104400,32.8103393840,32.3082270844,32.4986839294,17072800
2020-04-01,31.9359726448,32.0398566965,31.1568373030,31.1741485596,28408000
2020-04-02,31.9705953202,32.4294194836,31.8753669160,32.3688201904,33081500
2020-04-03,32.2995732727,32.4121129580,31.8320900645,31.9359741211,18891300
2020-04-06,32.7410829881,33.1479668880,32.6545134913,33.0787086487,23613500
2020-04-07,33.7885874562,33.8491867614,32.8276508978,32.9748229980,28960800
2020-04-08,32.8103323260,33.0960142297,32.6112165932,33.0007858276,14731500
2020-04-09,33.1219961106,33.3384231726,32.7584002317,32.7843704224,21931400
2020-04-13,32.7757079514,32.8882509248,32.4727081464,32.8103370667,21073000
2020-04-14,33.3470760632,33.4596190397,33.2345330867,33.3297615051,35863600
2020-04-15,32.6285391453,32.7497410609,32.4380855970,32.5592842102,25453800
2020-04-16,32.7410840009,32.7583985613,32.4986867606,32.6891403198,20821300
2020-04-17,33.2605095724,33.3037976270,32.9748275655,33.2518539429,29405600
